#: table_doi: 10.17182/hepdata.50629.v1/t1
#: name: Table 1
#: description: Inclusive muon-neutrino charged current cross section.

#: data_file: Table1.yaml
#: keyword reactions: NUMU NUCLEON --> MU- X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 3.084-20.716
#: RE,,,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],,,3.084-20.716
E(P=1) [GEV],E(P=1) [GEV] LOW,E(P=1) [GEV] HIGH,SIG/E(P=1) [10**-38CM**2/GEV],stat +,stat -,sys +,sys -
4.6,2.5,6.0,0.786,0.011,-0.011,0.035,-0.035
6.5,6.0,7.0,0.763,0.011,-0.011,0.036,-0.036
7.5,7.0,8.0,0.722,0.009,-0.009,0.035,-0.035
8.5,8.0,9.0,0.701,0.007,-0.007,0.033,-0.033
9.5,9.0,10.0,0.716,0.007,-0.007,0.033,-0.033
10.5,10.0,11.0,0.706,0.005,-0.005,0.026,-0.026
11.5,11.0,12.0,0.705,0.005,-0.005,0.024,-0.024
12.5,12.0,13.0,0.697,0.005,-0.005,0.024,-0.024
13.5,13.0,14.0,0.7,0.005,-0.005,0.024,-0.024
14.5,14.0,15.0,0.698,0.004,-0.004,0.025,-0.025
16.2,15.0,17.5,0.698,0.003,-0.003,0.025,-0.025
18.7,17.5,20.0,0.7,0.003,-0.003,0.025,-0.025
21.2,20.0,22.5,0.699,0.003,-0.003,0.024,-0.024
23.7,22.5,25.0,0.694,0.003,-0.003,0.024,-0.024
26.2,25.0,27.5,0.694,0.003,-0.003,0.025,-0.025
28.7,27.5,30.0,0.694,0.003,-0.003,0.025,-0.025
32.3,30.0,35.0,0.677,0.003,-0.003,0.026,-0.026
37.3,35.0,40.0,0.681,0.003,-0.003,0.026,-0.026
42.4,40.0,45.0,0.675,0.003,-0.003,0.028,-0.028
47.4,45.0,50.0,0.682,0.004,-0.004,0.027,-0.027
54.6,50.0,60.0,0.67,0.003,-0.003,0.028,-0.028
64.7,60.0,70.0,0.675,0.003,-0.003,0.031,-0.031
74.8,70.0,80.0,0.684,0.003,-0.003,0.037,-0.037
84.8,80.0,90.0,0.678,0.004,-0.004,0.041,-0.041
94.8,90.0,100.0,0.677,0.004,-0.004,0.043,-0.043
107.0,100.0,115.0,0.674,0.004,-0.004,0.048,-0.048
122.0,115.0,130.0,0.661,0.005,-0.005,0.048,-0.048
136.9,130.0,145.0,0.671,0.006,-0.006,0.054,-0.054
165.9,145.0,200.0,0.667,0.004,-0.004,0.054,-0.054
228.3,200.0,300.0,0.721,0.008,-0.008,0.06,-0.06

